ID	Number	Name	Region	Locality	Collector	SubFamily	Group	SubGroup	Comment	FullName	Glottocode	Latitude	Longitude
wusivalui	39	Wusi-Valui		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Wusi-Valui	wusi1237	-15.2786	166.696
wusimana	40	Wusi-Mana		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Wusi-Mana	wusi1237	-15.2786	166.696
kerepua	41	Kerepua		Santo	B.Bomo	New Hebrides	North & Central New Hebrides	West Santo		Kerepua	wusi1237	-15.2786	166.696
vunapu	42	Vunapu		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Vunapu	vuna1239	-14.7825707048755	166.695911029183
piamatsina	43	Piamatsina		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Piamatsina	piam1242	-14.8552301861272	166.760333649255
tolomako	44	Tolomako		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Tolomako	tolo1255	-15.1510004391464	166.820397133684
malmariv	45	Malmariv		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Malmariv	tial1239	-15.2334	166.842
nonona	46	Nonona		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Nonona	wusi1237	-15.379842978715	166.771362956096
navut	47	Navut		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Navut	navu1237	-15.3989945065584	166.7791802792
lametin	48	Lametin		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Lametin	mere1242	-15.2839	166.905
morouas	49	Morouas		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Morouas	moro1286	-15.3645861843604	166.914861477685
batunlamak	50	Batunlamak		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Batunlamak	moro1286	-15.4795417773077	166.981668169005
matae	51	Matae		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Matae	navu1237	-15.4198442928265	166.780831667971
akei	52	Akei		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Akei	akei1237	-15.4602615541585	166.775018298723
fortsenal	53	Fortsenal		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Fortsenal	fort1240	-15.506237393099	166.905081166701
penantsiro	54	Penantsiro		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Penantsiro	akei1237	-15.539360619858	166.925473584681
tasiriki	55	Tasiriki		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Tasiriki	akei1237	-15.6377	166.767
wailapa	56	Wailapa		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Wailapa	wail1242	-15.5813742773302	166.933444472859
roria	57	Roria		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Roria	rori1237	-15.425496285782	166.862617882633
amblong	58	Amblong		Santo	A.L.Jackson	New Hebrides	North & Central New Hebrides	West Santo		Amblong	ambl1237	-15.53939708393	166.994252804102
narango	59	Narango		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Narango	nara1263	-15.5579157998599	166.993689125454
polonombauk	60	Polonombauk		Santo	D.T.Tryon	New Hebrides	East Santo	South-East Santo		Polonombauk	polo1242	-15.5150053060469	167.10641693993
butmas	61	Butmas		Santo	A.L.Jackson	New Hebrides	East Santo	South-East Santo		Butmas	butm1237	-15.3353	167.034
tur	62	Tur		Santo	A.L.Jackson	New Hebrides	East Santo	South-East Santo		Tur	butm1237	-15.3923302762479	167.029602293738
nambel	63	Nambel		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Nambel	nara1263	-15.4544806623895	167.106103989567
tambotalo	64	Tambotalo		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Tambotalo	tamb1253	-15.4824040332327	167.113336531803
sakao	65	Sakao		Santo	J.Guy	New Hebrides	East Santo	Sakao		Sakao	saka1289	-15.0490474108114	167.071003679487
lorediakarkar	66	Lorediakarkar		Santo	J.Guy	New Hebrides	East Santo	South-East Santo		Lorediakarkar	lore1244	-15.2338405671347	167.15238768346
sharkbayi	67	Shark Bay I		Santo	J.Guy	New Hebrides	East Santo	South-East Santo		Shark Bay I	shar1244	-15.255284	167.138859
sharkbayii	68	Shark Bay II		Santo	D.T.Tryon	New Hebrides	East Santo	South-East Santo		Shark Bay II	shar1244	-15.255284	167.138859
mafea	69	Mafea		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Mafea	mafe1237	-15.4316	167.241
tutuba	70	Tutuba		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Tutuba	tutu1241	-15.580667	167.268889
aore	71	Aore		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Aore	aore1237	-15.5753	167.166
malonorth	72	Malo North		Malo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Malo North	malo1243	-15.6835	167.16
malosouth	73	Malo South		Malo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Malo South	malo1243	-15.6835	167.16
tangoa	74	Tangoa		Santo	J.Guy	New Hebrides	North & Central New Hebrides	West Santo		Tangoa	tang1347	-15.6129934561443	167.030319980825
araki	75	Araki		Santo	D.T.Tryon	New Hebrides	North & Central New Hebrides	West Santo		Araki	arak1252	-15.6282410238115	166.952469820401
axamb	76	Axamb		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Axamb	axam1237	-16.5179618026664	167.65349146808
letemboi	77	Letemboi		Malekula	J.M.Charpentier	New Hebrides	Malekula Interior	Small Nambas		Letemboi	lete1241	-16.4195911019389	167.597652337063
maxbaxo	78	Maxbaxo		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Maxbaxo	avok1244	-16.5113095154736	167.706468376415
avok	79	Avok		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Avok	avok1244	-16.5412658970696	167.786037603039
maskelynes	80	Maskelynes		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Maskelynes	mask1242	-16.5373789318227	167.850649075278
portsandwich	81	Port Sandwich		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Port Sandwich	port1285	-16.4410617299729	167.786304428957
burmbar	82	Burmbar		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Burmbar	burm1263	-16.3844652035323	167.780501043035
lepaxsivir	83	Lepaxsivir		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Lepaxsivir	burm1263	-16.41653	167.73124
vartavo	84	Vartavo		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Vartavo	burm1263	-16.41653	167.73124
aulua	85	Aulua		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Aulua	aulu1238	-16.311491400016	167.691051344588
repanbitip	86	Repanbitip		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Small Nambas		Repanbitip	repa1237	-16.3265	167.619
rerep	87	Rerep		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Rerep	rere1240	-16.2691483066458	167.678237310535
unua	88	Unua		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Unua	unua1237	-16.2314138805245	167.603322947486
timbembe	89	Timbembe		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Timbembe	katb1237	-16.1797827994182	167.531974929801
lingarak	90	Lingarak		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Lingarak	ling1265	-16.1986	167.499
katbol	91	Katbol		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Katbol	katb1237	-16.1576907665386	167.425499272372
litzlitz	92	Litzlitz		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Litzlitz	litz1237	-16.1160323466577	167.449033893529
uri	93	Uri		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Uri	urip1239	-16.0936259350607	167.45848101589
uripiv	94	Uripiv		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Uripiv	urip1239	-16.0704696073022	167.448405123831
tautu	95	Tautu		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Tautu	urip1239	-16.0703218873372	167.409694516657
maragus	96	Maragus		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Maragus	mara1399	-16.0770022051878	167.36954607934
pinalum	97	Pinalum		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Pinalum	urip1239	-16.0124870035975	167.405941014166
wala	98	Wala		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Wala	urip1239	-15.9716293874471	167.378830275793
rano	99	Rano		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Rano	urip1239	-15.9889182585707	167.394538699071
orap	100	Orap		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Orap	maee1241	-15.9898473343149	167.356646522382
atchin	101	Atchin		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Atchin	urip1239	-15.9432625268067	167.341440093465
vao	102	Vao		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Vao	vaoo1237	-15.898299	167.309973
mpotovoro	103	Mpotovoro		Malekula	G.Fox	New Hebrides	North & Central New Hebrides	Malekula Coastal		Mpotovoro	mpot1241	-15.8988	167.232
mae	104	Mae		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Mae	maee1241	-16.0097898473407	167.375109407566
vovo	105	Vovo		Malekula/Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Vovo	vaoo1237	-15.9092362724105	167.180516531919
petarmur	106	Petarmur		Malekula	G.Fox	New Hebrides	North & Central New Hebrides	Malekula Coastal		Petarmur	malu1245	-15.9335586872791	167.180060343491
maluabay	107	Malua Bay		Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Malua Bay	malu1245	-15.9813	167.208
leviamp	108	Leviamp		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Leviamp	bign1238	-16.1518563576426	167.234159459792
unmet	109	Unmet		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Unmet	bign1238	-16.1076827697848	167.315108290264
larevat	110	Larevat		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Larevat	lare1249	-16.1971	167.387
vinmavis	111	Vinmavis		Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Malekula Central		Vinmavis	vinm1237	-16.2253	167.427
dixonreefi	112	Dixon Reef I		Malekula	G.Fox	New Hebrides	Malekula Interior	Small Nambas		Dixon Reef I	dixo1238	-16.3439306298826	167.395564189333
dixonreefii	113	Dixon Reef II	Ma	Malekula	J.M.Charpentier	New Hebrides	Malekula Interior	Small Nambas	probably what Tryon calls Nasarian in the overview	Dixon Reef II	dixo1238	-16.3439306298826	167.395564189333
lembinwen	114	Lembinwen	Ma	Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Lembinwen	sout2857	-16.5152155076037	167.420260488263
benour	115	Benour	Ma	Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Benour	sout2857	-16.4941120682098	167.420775467068
labo	116	Labo	Ma	Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Labo		Labo	labo1244	-16.4291	167.442
windua	117	Windua	Ma	Malekula	D.T.Tryon	New Hebrides	Malekula Interior	Labo		Windua	labo1244	-16.4767141911666	167.445620875249
malfaxal	118	Malfaxal	Ma	Malekula	D.T.Tryon	New Hebrides	North & Central New Hebrides	Malekula Coastal		Malfaxal	malf1237	-16.5499	167.509
ranon	119	Ranon	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Ranon	nort2839	-16.1741	168.14
fonah	120	Fonah	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Fonah	nort2839	-16.1048495440112	168.172197224407
fali	121	Fali	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Fali	lonw1238	-16.2286	168.016
baiap	122	Baiap	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Baiap	daka1243	-16.266141479219	167.945266148187
sesivi	123	Sesivi	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Sesivi	sesi1237	-16.30603	167.98469
portvato	124	Port Vato	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Port Vato	port1286	-16.3083	168.046
toak	125	Toak	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Toak	toak1237	-16.33785	168.29499
maat	126	Maat	Am	Ambrym	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Maat	sout2859	-16.2975	168.211
lironesa	127	Lironesa	Pa	Paama	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Lironesa	paam1238	-16.47548	168.23693
faulili	128	Faulili	Pa	Paama	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides		Faulili	paam1238	-16.5116730331248	168.23298096579
laul	129	Laul	Pa	Paama	D.T.Tryon	New Hebrides	North & Central New Hebrides	East New Hebrides	Actually on Epi; refugees from Paama (Lopevi)	Laul	paam1238	-16.7033009623272	168.264387559648
lamenu	130	Lamenu	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Lamenu	lame1260	-16.5886345675964	168.130628675049
visina	131	Visina	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Visina	lame1260	-16.569935818541	168.178380169464
mapremo	132	Mapremo	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Mapremo	lame1260	-16.6099133742459	168.161558568072
nikaura	133	Nikaura	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Nikaura	lame1260	-16.6076108365995	168.217213410351
nuvi	134	Nuvi	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Nuvi	lame1260	-16.6355003292779	168.224782838
mate	135	Mate	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Mate	lewo1242	-16.7024033682696	168.319690217822
nul	136	Nul	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Nul	lewo1242	-16.6827779254738	168.30580721501
filakara	137	Filakara	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Filakara	lewo1242	-16.8040289260551	168.467752419668
tavio	138	Tavio	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Tavio	bier1244	-16.6763910410009	168.241734303278
bonkovia	139	Bonkovia	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Bonkovia	bier1244	-16.7205387605292	168.145336481244
