FORM	REPLACEMENT	COMMENT
puruᵑ-ku	puru-ᵑku	Typesetting error; the suffix should be -ᵑku (compare other body part nouns)
činɔ-ŋku	činɔ-ᵑku	Typesetting error; the suffix should be -ᵑku (compare other body part nouns)
aᵑand	aŋand	Intervocalic <ᵑ> can only be interpreted as consonantal segment; might indicate weak articulation.
na-ᵑai	na-ŋai	Intervocalic <ᵑ> can only be interpreted as consonantal segment; might indicate weak articulation.
tuaᵑa	tuaŋa	Intervocalic <ᵑ> can only be interpreted as consonantal segment; might indicate weak articulation.
miᵑut	miŋut	Intervocalic <ᵑ> can only be interpreted as consonantal segment; might indicate weak articulation.
βanua uluʷou	βanua_uluwou	Intervocalic <ʷ> can only be interpreted as consonantal segment; might indicate weak articulation.
kwo-ᵑgu	kʷo-ᵑgu	Initial segment should be <kʷ>, cf. <kʷo-ᵑgu> 'husband'.
