Name	Latitude	Longitude	Comment
Sasar	-13.8072	167.39
Vatrata	-13.85181395	167.3958458
Mosina	-13.90547984	167.5015434
Nume	-14.20655937	167.5152028
Wetamut	-14.29383609	167.5913197
Koro	-14.35728954	167.4359024
Valpei	-14.76929031107209	166.5666375
Nokuku	-14.93180161	166.5923126
Tasmate	-15.14706553	166.6443404
Wusi-Mana	-15.3632802243344	166.658860742435	The two Wusi doculects are from the same village. I placed them a few hundred meters apart so that they may not completely overlap on the map if this is what we want. Otherwise feel free to merge them into the same coordinates (either set).
Wusi-Valui	-15.367956970749	166.655496953861	The two Wusi doculects are from the same village. I placed them a few hundred meters apart so that they may not completely overlap on the map if this is what we want. Otherwise feel free to merge them into the same coordinates (either set).
Nonona	-15.379842978715	166.771362956096
Navut	-15.3989945065584	166.7791802792
Matae	-15.4198442928265	166.780831667971
Akei	-15.4602615541585	166.775018298723
Vunapu	-14.7825707048755	166.695911029183
Piamatsina	-14.8552301861272	166.760333649255
Tolomako	-15.1510004391464	166.820397133684
Sakao	-15.0490474108114	167.071003679487
Morouas	-15.3645861843604	166.914861477685
Roria	-15.425496285782	166.862617882633
Fortsenal	-15.506237393099	166.905081166701
Penantsiro	-15.539360619858	166.925473584681
Wailapa	-15.5813742773302	166.933444472859
Araki	-15.6282410238115	166.952469820401
Tangoa	-15.6129934561443	167.030319980825
Narango	-15.5579157998599	166.993689125454
Amblong	-15.53939708393	166.994252804102
Batunlamak	-15.4795417773077	166.981668169005
Tur	-15.3923302762479	167.029602293738
Nambel	-15.4544806623895	167.106103989567
Tambotalo	-15.4824040332327	167.113336531803
Polonombauk	-15.5150053060469	167.10641693993
Malo North	-15.638440970552	167.15568718605
Malo South	-15.7331388170275	167.175379535149
Lorediakarkar	-15.2338405671347	167.15238768346
Shark Bay I	-15.2682715321009	167.19252802045
Shark Bay II	-15.2894019930526	167.215483465399
Vovo	-15.9092362724105	167.180516531919
Petarmur	-15.9335586872791	167.180060343491
Leviamp	-16.1518563576426	167.234159459792
Unmet	-16.1076827697848	167.315108290264
Atchin	-15.9432625268067	167.341440093465
Wala	-15.9716293874471	167.378830275793
Rano	-15.9889182585707	167.394538699071
Orap	-15.9898473343149	167.356646522382
Mae	-16.0097898473407	167.375109407566
Pinalum	-16.0124870035975	167.405941014166
Tautu	-16.0703218873372	167.409694516657
Uripiv	-16.0704696073022	167.448405123831
Uri	-16.0936259350607	167.45848101589
Litzlitz	-16.1160323466577	167.449033893529
Lingarak	-16.1358640977227	167.483790408766
Maragus	-16.0770022051878	167.36954607934
Vinmavis	-16.202963676906	167.386786143668
Katbol	-16.1576907665386	167.425499272372
Timbembe	-16.1797827994182	167.531974929801
Unua	-16.2314138805245	167.603322947486
Rerep	-16.2691483066458	167.678237310535
Repanbitip	-16.2909676912729	167.673456962056
Aulua	-16.311491400016	167.691051344588
Vartabo	-16.3306326371762	167.720862286407
Lopaxsivir	-16.339227126219	167.765127162959
Burmbar	-16.3844652035323	167.780501043035
Port Sandwich	-16.4410617299729	167.786304428957
Avok	-16.5412658970696	167.786037603039
Maskelynes	-16.5373789318227	167.850649075278
Axamb	-16.5179618026664	167.65349146808
Maxbaxo	-16.5113095154736	167.706468376415
Letemboi	-16.4195911019389	167.597652337063
Malfaxal	-16.5543809441991	167.570455753063
Lembinwen	-16.5152155076037	167.420260488263
Benour	-16.4941120682098	167.420775467068
Windua	-16.4767141911666	167.445620875249
Labo	-16.4683162185954	167.443104202153
Nasarian	-16.3894719373546	167.410152333614
Dixon Reef	-16.3439306298826	167.395564189333
Peterara	-15.0146180470212	168.067899990012
Navenevene	-15.0420987191013	168.071548300246
Tam	-15.0842096481701	168.083616388036
Narovorovo	-15.11460254573	168.090857792192
Nasawa	-15.1408764566766	168.10184954491
Baetora	-15.2840347277638	168.115311845247
Ngwatua	-15.4379261564498	167.682233039023
Lolomatui	-15.2967893277431	167.908991705342
Wailengi	-15.36846100709	167.938131324713
Lolosiwoi	-15.471914189586	167.831418179635
Apma	-15.6765365541085	168.210838663468
Fonah	-16.1048495440112	168.172197224407
Fali	-16.2398672699498	167.91724199231
Baiap	-16.266141479219	167.945266148187
Lironessa	-16.4362042432036	168.246603745679
Faulili	-16.5116730331248	168.23298096579
Visina	-16.569935818541	168.178380169464
Lamenu	-16.5886345675964	168.130628675049
Mapremo	-16.6099133742459	168.161558568072
Yevali	-16.6229597431786	168.156847461123
Burupika	-16.6204040848939	168.188140064152
Burumba	-16.7031435950565	168.128522910476
Bonkovia	-16.7205387605292	168.145336481244
Mae-Morae	-16.7492030651667	168.153746604433
Vowa	-16.7873867237431	168.171924350045
Nikaura	-16.6076108365995	168.217213410351
Nuvi	-16.6355003292779	168.224782838
Tavio	-16.6763910410009	168.241734303278
Nul	-16.6827779254738	168.30580721501
Mate	-16.7024033682696	168.319690217822
Laul	-16.7033009623272	168.264387559648
Filakara	-16.8040289260551	168.467752419668
Woraviu	-16.8741107440895	168.587048992535
Bongabonga	-16.9266234230186	168.558806787722
Sesake	-17.0901453938753	168.340400012976
Pwele	-17.4907731193591	168.404931723407
Siviri	-17.5277833419922	168.320934625906
Fila	-17.7280839273019	168.282597932039
Pango	-17.7786750254133	168.263687155017
Eratap	-17.7844057570127	168.398710851944
Sie	-18.8481683301415	169.022748708369
North Tanna	-19.3227833885602	169.314538163969
Lenaukas	-19.376259760222	169.343215666012
Lonasilian	-19.4390423751069	169.225933094408
Lenakel	-19.5137457263894	169.250325323056
Ikiti	-19.6462450963689	169.397249299121
Lapwangtoai	-19.4762901181984	169.349872188661
Loniel	-19.4764650624339	169.386163158225
Iarkei	-19.4836889546783	169.42543929277
Port Resolution	-19.5262597985431	169.491124886077
Yatukwei	-19.5485750788538	169.479927797497
Isiai	-19.6187353295963	169.459391006324
Imreang	-19.5152937265809	169.314704003032
Ikiyau	-19.5365059812251	169.420996241722
Enfitana	-19.5676448591378	169.33150740308	Appears as Enfitena in the current web app. probably an error
Vetumboso	-13.90299	167.45138
Merig	-14.321628	167.794533
Nasawa	-15.20185	168.11301
Narovorovo	-15.18568	168.10934
Sesivi	-16.30603	167.98469
Toak	-16.33785	168.29499
Tongariki	-17.00607	168.62417
Makura	-17.13117	168.43178
Mataso	-17.25681	168.42964
Sesake	-17.04374	168.39290
Nguna	-17.46104	168.36187
Fila	-17.747931	168.296138
Mele	-17.69099	168.26810
Aniwa	-19.25407	169.60007
Futuna	-19.52582	170.21238
