NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
188	two	1498	TWO	2
189	three	492	THREE	2
190	four	1500	FOUR	2
191	five	493	FIVE	2
192	six	1703	SIX	2
193	seven	1704	SEVEN	2
194	eight	1705	EIGHT	2
195	nine	1483	NINE	2
196	ten	1515	TEN	2
197	other	197	OTHER	2
198	who	1235	WHO	2
199	what	1236	WHAT	2
200	when¹	1238	WHEN	2
200	when	1238	WHEN	2
201	how many	822	HOW MANY	2
202	many	1198	MANY	2
203	where	1237	WHERE	2
204	work	2281	WORKING OR WORK	2
205	warm	1232	WARM	2
206	yesterday	1174	YESTERDAY	2
207	tomorrow	1329	TOMORROW	2
208	night	1233	NIGHT	2
209	year	1226	YEAR	2
210	day	1225	DAY (NOT NIGHT)	2
211	I	1209	I	2
212	thou	1215	THOU	2
213	he	1211	HE	2
214	we pl. incl.	1131	WE (INCLUSIVE)	2
215	we pl.excl.	1130	WE (EXCLUSIVE)	2
216	you pl.	1213	YOU	2
216	you p1.	1213	YOU	2
214	we pl.incl.	1131	WE (INCLUSIVE)	2
217	they	817	THEY	2
218	we dl. incl.	2637	WE TWO (INCLUSIVE)	2
219	we dl.excl.	2636	WE TWO (EXCLUSIVE)	2
220	you dl.	1213	YOU	2
219	we dl. excl.	2636	WE TWO (EXCLUSIVE)	2
218	we dl.incl.		2637	WE TWO (INCLUSIVE)	2
218	we dl.incl	2637	WE TWO (INCLUSIVE)	2
221	they dl.	2635	THEY TWO	2
222	give	1447	GIVE	2
223	hit	1433	HIT	2
224	see	1409	SEE	2
225	bite	1403	BITE	2
226	hear	1408	HEAR	2
227	cry	1839	CRY	2
226	die	1494	DIE	2
228	die	1494	DIE	2
229	vomit	1278	VOMIT	2
230	go	695	GO	2
231	come	1446	COME	2
232	swim	1439	SWIM	2
233	eat	1336	EAT	2
234	stand	1442	STAND	2
235	sit	1416	SIT	2
236	call out	715	SHOUT	2
135	sit	1416	SIT	2
237	run	1519	RUN	2
238	fall	1280	FALL	2
239	sleep	1585	SLEEP	2
240	laugh	1355	LAUGH	2
241	blow	176	BLOW (WITH MOUTH)	2
242	hold	1448	HOLD	2
243	fly	1441	FLY (MOVE THROUGH AIR)	2
244	tie	1917	TIE	2
245	spit	1440	SPIT	2
246	breathe	1407	BREATHE	2
247	burn	2102	BURN	2
248	count	1420	COUNT	2
249	cut	1432	CUT	2
250	dig	1418	DIG	2
251	drink	1401	DRINK	2
252	fear	1419	FEAR (BE AFRAID)	2
253	float	1574	FLOAT	2
254	flow	2003	FLOW	2
255	hunt	1435	HUNT	2
256	kill	1417	KILL	2
257	know	3626	KNOW	2
258	lie down	215	LIE DOWN	2
259	live	1422	BE ALIVE	2
260	play	1413	PLAY	2
261	pull	1455	PULL	2
262	push	1452	PUSH	2
263	rub	1449	RUB	2
264	say¹	1458	SAY	2
264	say	1458	SAY	2
265	scratch	1436	SCRATCH	2
266	sew	1457	SEW	2
267	sing	1261	SING	2
268	smell	2124	SMELL	2
269	split	1437	SPLIT	2
270	squeeze	1414	SQUEEZE	2
271	stab	1434	STAB	2
272	suck	1421	SUCK	2
273	swell	1573	SWELL	2
274	think	2271	THINK	2
275	throw	1456	THROW	2
276	turn	1588	TURN	2
277	walk	1443	WALK	2
278	wash	1453	WASH	2
279	wipe	1454	WIPE	2
280	all	98	ALL	2
281	and	1577	AND	2
282	far	1406	FAR	2
283	here	136	HERE	2
284	how	1239	HOW	2
285	if	1459	IF	2
286	in	1460	IN	2
287	near	1942	NEAR	2
288	not	1240	NOT	2
289	that	78	THAT	2
290	there	1937	THERE	2
291	this	1214	THIS	2
292	with	1340	WITH	2
