ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
faulili,Faulili,paam1238,Paama,pma,Papunesia,-16.5116730331248,168.23298096579,Austronesian,Paama,,128,Pa,Faulili,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
laul,Laul,paam1238,Paama,pma,Papunesia,-16.7033009623272,168.264387559648,Austronesian,Paama,Actually on Epi; refugees from Paama (Lopevi),129,Pa,Laul,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
lamenu,Lamenu,lame1260,Lamenu,lmu,Papunesia,-16.5886345675964,168.130628675049,Austronesian,Epi,,130,Ep,Lamenu,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
visina,Visina,lame1260,Lamenu,lmu,Papunesia,-16.569935818541,168.178380169464,Austronesian,Epi,,131,Ep,Visina,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
mapremo,Mapremo,lame1260,Lamenu,lmu,Papunesia,-16.6099133742459,168.161558568072,Austronesian,Epi,,132,Ep,Mapremo,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
nikaura,Nikaura,lame1260,Lamenu,lmu,Papunesia,-16.6076108365995,168.217213410351,Austronesian,Epi,,133,Ep,Nikaura,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
nuvi,Nuvi,lame1260,Lamenu,lmu,Papunesia,-16.6355003292779,168.224782838,Austronesian,Epi,,134,Ep,Nuvi,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
mate,Mate,lewo1242,Lewo,lww,Papunesia,-16.7024033682696,168.319690217822,Austronesian,Epi,,135,Ep,Mate,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
nul,Nul,lewo1242,Lewo,lww,Papunesia,-16.6827779254738,168.30580721501,Austronesian,Epi,,136,Ep,Nul,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
filakara,Filakara,lewo1242,Lewo,lww,Papunesia,-16.8040289260551,168.467752419668,Austronesian,Epi,,137,Ep,Filakara,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
tavio,Tavio,bier1244,Bierebo,bnk,Papunesia,-16.6763910410009,168.241734303278,Austronesian,Epi,,138,Ep,Tavio,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
bonkovia,Bonkovia,bier1244,Bierebo,bnk,Papunesia,-16.7205387605292,168.145336481244,Austronesian,Epi,,139,Ep,Bonkovia,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
burupika,Burupika,bier1244,Bierebo,bnk,Papunesia,-16.6204040848939,168.188140064152,Austronesian,Epi,,140,Ep,Burupika,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
yevali,Yevali,bier1244,Bierebo,bnk,Papunesia,-16.6229597431786,168.156847461123,Austronesian,Epi,,141,Ep,Yevali,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
burumba,Burumba,baki1244,Baki,bki,Papunesia,-16.7096,168.165,Austronesian,Epi,,142,Ep,Burumba,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
maemorae,Mae-Morae,maii1238,Maii,mmm,Papunesia,-16.7388,168.211,Austronesian,Epi,,143,Ep,Mae-Morae,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
vowa,Vowa,bier1246,Bieria,brj,Papunesia,-16.7873867237431,168.171924350045,Austronesian,Epi,called Vovo in the overview,144,Ep,Vowa,D.T.Tryon,New Hebrides,North & Central New Hebrides,Epi
bonga,Bonga.,nama1268,Namakura,nmk,Papunesia,-16.9266234230186,168.558806787722,Austronesian,Shepherd Is.,,145,Sh,Bongabonga,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
tonga,Tonga.,tong1322,Tongariki Island,,Papunesia,-17.00607,168.62417,Austronesian,Shepherd Is.,,146,Sh,Tongariki,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
makura,Makura,maku1276,Makura,,Papunesia,-17.13117,168.43178,Austronesian,Shepherd Is.,,147,Sh,Makura,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
mataso,Mataso,mata1250,Mataso,,Papunesia,-17.25681,168.42964,Austronesian,Shepherd Is.,,148,Sh,Mataso,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
makatea,Makatea,emae1237,Emae,mmw,Papunesia,-17.052,168.399,Austronesian,Shepherd Is.,,149,Sh,Makatea,D.T.Tryon,Polynesian,Polynesian Outlier,Polynesian Outlier
woraviu,Woraviu,nort2836,North Efate,llp,Papunesia,-16.8741107440895,168.587048992535,Austronesian,Shepherd Is.,,150,Sh,Woraviu,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
sesake,Sesake,sesa1243,Sesake,,Papunesia,-17.04374,168.39290,Austronesian,Shepherd Is.,,151,Sh,Sesake,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
nguna,Nguna,ngun1274,Nguna,,Papunesia,-17.46104,168.36187,Austronesian,Efate,,152,Ef,Nguna,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
pwele,Pwele,nort2836,North Efate,llp,Papunesia,-17.4907731193591,168.404931723407,Austronesian,Efate,,153,Ef,Pwele,G.W.Grace,New Hebrides,North & Central New Hebrides,Central New Hebrides
siviri,Siviri,nort2836,North Efate,llp,Papunesia,-17.5277833419922,168.320934625906,Austronesian,Efate,,154,Ef,Siviri,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
lelepa,Lelepa,lele1267,Lelepa,lpa,Papunesia,-17.6042,168.202,Austronesian,Efate,,155,Ef,Lelepa,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
pango,Pango,sout2856,Nafsan,erk,Papunesia,-17.7786750254133,168.263687155017,Austronesian,Efate,,156,Ef,Pango,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
eratap,Eratap,sout2856,Nafsan,erk,Papunesia,-17.7844057570127,168.398710851944,Austronesian,Efate,,157,Ef,Eratap,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
eton,Eton,eton1255,Eton (Vanuatu),etn,Papunesia,-17.74,168.549,Austronesian,Efate,,158,Ef,Eton,D.T.Tryon,New Hebrides,North & Central New Hebrides,Central New Hebrides
fila,Fila,fila1237,Fila,,Papunesia,-17.747931,168.296138,Austronesian,Efate,,159,Ef,Fila,D.T.Tryon,Polynesian,Polynesian Outlier,Polynesian Outlier
mele,Mele,mele1251,Mele,,Papunesia,-17.69099,168.26810,Austronesian,Efate,,160,Ef,Mele,D.T.Tryon,Polynesian,Polynesian Outlier,Polynesian Outlier
sie,Sie,siee1239,Sie,erg,Papunesia,-18.8481683301415,169.022748708369,Austronesian,Erromanga,,161,Er,Sie,D.T.Tryon,New Hebrides,Erromanga,Erromanga
ura,Ura,urav1235,Ura (Vanuatu),uur,Papunesia,-18.6747,169.084,Austronesian,Erromanga,,162,Er,Ura,A.Capell,New Hebrides,Erromanga,Erromanga
isiai,Isiai,kwam1252,Kwamera,tnk,Papunesia,-19.6187353295963,169.459391006324,Austronesian,Tanna,,163,Ta,Isiai,D.T.Tryon,New Hebrides,Tanna,Tanna
yatuk,Yatuk.,kwam1252,Kwamera,tnk,Papunesia,-19.5954,169.442,Austronesian,Tanna,,164,Ta,Yatukwey,D.T.Tryon,New Hebrides,Tanna,Tanna
portr,Port R.,kwam1252,Kwamera,tnk,Papunesia,-19.5262597985431,169.491124886077,Austronesian,Tanna,,165,Ta,Port Resolution,D.T.Tryon,New Hebrides,Tanna,Tanna
iarkei,Iarkei,whit1269,Whitesands,tnp,Papunesia,-19.4836889546783,169.42543929277,Austronesian,Tanna,,166,Ta,Iarkei,D.T.Tryon,New Hebrides,Tanna,Tanna
loniel,Loniel,whit1269,Whitesands,tnp,Papunesia,-19.4764650624339,169.386163158225,Austronesian,Tanna,,167,Ta,Loniel,D.T.Tryon,New Hebrides,Tanna,Tanna
northt,North T.,nort2847,North Tanna,tnn,Papunesia,-19.3733,169.303,Austronesian,Tanna,,168,Ta,North Tanna,D.T.Tryon,New Hebrides,Tanna,Tanna
lenakel,Lenakel,lena1238,Lenakel,tnl,Papunesia,-19.5137457263894,169.250325323056,Austronesian,Tanna,,169,Ta,Lenakel,J.D.Lynch,New Hebrides,Tanna,Tanna
lenau,Lenau.,lena1238,Lenakel,tnl,Papunesia,-19.376259760222,169.343215666012,Austronesian,Tanna,,170,Ta,Lenaukas,D.T.Tryon,New Hebrides,Tanna,Tanna
lonas,Lonas.,lena1238,Lenakel,tnl,Papunesia,-19.4390423751069,169.225933094408,Austronesian,Tanna,,171,Ta,Lonasilian,D.T.Tryon,New Hebrides,Tanna,Tanna
lapwang,Lapwang.,sout2869,Southwest Tanna,nwi,Papunesia,-19.4762901181984,169.349872188661,Austronesian,Tanna,,172,Ta,Lapwangtoai,D.T.Tryon,New Hebrides,Tanna,Tanna
imreang,Imreang,sout2869,Southwest Tanna,nwi,Papunesia,-19.5152937265809,169.314704003032,Austronesian,Tanna,,173,Ta,Imreang,D.T.Tryon,New Hebrides,Tanna,Tanna
ikiyau,Ikiyau,sout2869,Southwest Tanna,nwi,Papunesia,-19.5365059812251,169.420996241722,Austronesian,Tanna,,174,Ta,Ikiyau,D.T.Tryon,New Hebrides,Tanna,Tanna
enfit,Enfit.,sout2869,Southwest Tanna,nwi,Papunesia,-19.57953,169.35603,Austronesian,Tanna,,175,Ta,Enfitena,D.T.Tryon,New Hebrides,Tanna,Tanna
ikiti,Ikiti,sout2869,Southwest Tanna,nwi,Papunesia,-19.6462450963689,169.397249299121,Austronesian,Tanna,,176,Ta,Ikiti,D.T.Tryon,New Hebrides,Tanna,Tanna
aneityum,Aneityum,anei1239,Aneityum,aty,Papunesia,-20.1864,169.825,Austronesian,Aneityum,,177,,Aneityum,G.W.Grace,New Hebrides,Aneityum,Aneityum
aniwa,Aniwa,aniw1237,Aniwa,,Papunesia,-19.25407,169.60007,Austronesian,Aniwa,,178,,Aniwa,D.T.Tryon,Polynesian,Polynesian Outlier,Polynesian Outlier
futuna,Futuna,west2515,West Futuna,,Papunesia,-19.52582,170.21238,Austronesian,Futuna,,179,,Futuna,D.T.Tryon,Polynesian,Polynesian Outlier,Polynesian Outlier
