ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
raga,Raga,hano1246,Hano,lml,Papunesia,-15.5432,168.167,Austronesian,Pentecost,,30,Pe,Raga,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
apma,Apma,apma1240,Apma,app,Papunesia,-15.6765365541085,168.210838663468,Austronesian,Pentecost,,31,Pe,Apma,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
seke,Seke,seke1241,Seke (Vanuatu),ske,Papunesia,-15.8839,168.197,Austronesian,Pentecost,,32,Pe,Seke,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
sa,Sa,saaa1241,Sa,sax,Papunesia,-15.9534,168.228,Austronesian,Pentecost,,33,Pe,Sa,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
sowa,Sowa,sowa1244,Sowa,sww,Papunesia,-15.82653,168.18653,Austronesian,Pentecost,,34,Pe,Sowa,D.S.Walsh,New Hebrides,North & Central New Hebrides,East New Hebrides
hukua,Hukua,valp1237,Valpei,vlp,Papunesia,-14.712,166.606,Austronesian,Santo,,35,,Hukua,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
valpei,Valpei,valp1237,Valpei,vlp,Papunesia,-14.76929031107209,166.5666375,Austronesian,Santo,,36,,Valpei,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
nokuku,Nokuku,noku1237,Nokuku,nkk,Papunesia,-14.93180161,166.5923126,Austronesian,Santo,,37,,Nokuku,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
tasmate,Tasmate,tasm1246,Tasmate,tmt,Papunesia,-15.14706553,166.6443404,Austronesian,Santo,,38,,Tasmate,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
wusivalui,Wusi-Valui,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.2786,166.696,Austronesian,Santo,,39,,Wusi-Valui,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
