ID,Name,Concepticon_ID,Concepticon_Gloss,Number
165_cooked,cooked,269,COOKED,165
166_dead,dead,1625,DEAD,166
167_dry,dry,1398,DRY,167
168_wet,wet,1726,WET,168
169_lazy,lazy,1564,LAZY,169
170_heavy,heavy,1210,HEAVY,170
171_light,light,1052,LIGHT (WEIGHT),171
172_sick,sick,1847,SICK,172
173_cold,cold,1287,COLD,173
174_dirty,dirty,1230,DIRTY,174
175_long,long,1203,LONG,175
176_narrow,narrow,1267,NARROW,176
177_new,new,1231,NEW,177
178_old,old,1229,OLD,178
179_right,right,1019,RIGHT,179
180_rotten,rotten,1728,ROTTEN,180
181_sharp,sharp,1396,SHARP,181
182_short,short,1645,SHORT,182
183_smooth,smooth,1234,SMOOTH,183
184_straight,straight,1404,STRAIGHT,184
185_thick,thick,1244,THICK,185
186_thin,thin,2308,THIN,186
187_one,one,1493,ONE,187
188_two,two,1498,TWO,188
189_three,three,492,THREE,189
190_four,four,1500,FOUR,190
191_five,five,493,FIVE,191
192_six,six,1703,SIX,192
193_seven,seven,1704,SEVEN,193
194_eight,eight,1705,EIGHT,194
195_nine,nine,1483,NINE,195
196_ten,ten,1515,TEN,196
197_other,other,197,OTHER,197
198_who,who,1235,WHO,198
199_what,what,1236,WHAT,199
200_when,when¹,1238,WHEN,200
201_howmany,how many,822,HOW MANY,201
202_many,many,1198,MANY,202
203_where,where,1237,WHERE,203
204_work,work,2281,WORKING OR WORK,204
205_warm,warm,1232,WARM,205
206_yesterday,yesterday,1174,YESTERDAY,206
207_tomorrow,tomorrow,1329,TOMORROW,207
208_night,night,1233,NIGHT,208
209_year,year,1226,YEAR,209
210_day,day,1225,DAY (NOT NIGHT),210
211_i,I,1209,I,211
212_thou,thou,1215,THOU,212
213_he,he,1211,HE,213
214_weplincl,we pl. incl.,1131,WE (INCLUSIVE),214
215_weplexcl,we pl.excl.,1130,WE (EXCLUSIVE),215
216_youpl,you pl.,1213,YOU,216
216_youp1,you p1.,1213,YOU,216
217_they,they,817,THEY,217
218_wedlincl,we dl.incl.,2637,WE TWO (INCLUSIVE),218
219_wedlexcl,we dl.excl.,2636,WE TWO (EXCLUSIVE),219
220_youdl,you dl.,1213,YOU,220
221_theydl,they dl.,2635,THEY TWO,221
222_give,give,1447,GIVE,222
223_hit,hit,1433,HIT,223
224_see,see,1409,SEE,224
225_bite,bite,1403,BITE,225
226_hear,hear,1408,HEAR,226
227_cry,cry,1839,CRY,227
228_die,die,1494,DIE,228
229_vomit,vomit,1278,VOMIT,229
230_go,go,695,GO,230
231_come,come,1446,COME,231
